,predicted range
667,-0.035047999999999746
668,-0.038425999999999405
669,-0.02384800000000098
670,-0.03339899999999929
671,-0.028976999999999364
672,-0.02597399999999972
673,-0.03201499999999946
674,-0.03745149999999953
675,-0.04263050000000135
676,-0.04391700000000043
677,-0.04500800000000105
678,-0.04294099999999901
679,-0.05322499999999941
680,-0.051976500000000314
681,-0.04197000000000095
682,-0.04329000000000072
683,-0.0434089999999987
684,-0.04187799999999875
685,-0.03622800000000126
686,-0.026494999999998825
687,-0.028847999999999985
688,-0.03141099999999852
689,-0.04268199999999922
690,-0.03882199999999969
691,-0.049578000000000344
692,-0.059196000000000026
693,-0.06569400000000059
694,-0.06771999999999956
695,-0.074819999999999
696,-0.07432200000000044
697,-0.07743599999999873
698,-0.07550900000000027
699,-0.07324299999999972
700,-0.07071299999999958
701,-0.07257300000000022
702,-0.0782070000000008
703,-0.08869299999999924
704,-0.09481699999999904
705,-0.09909800000000146
706,-0.09552099999999975
707,-0.10184100000000029
708,-0.10170100000000026
709,-0.10336999999999996
710,-0.11554199999999959
711,-0.11819600000000108
712,-0.1161480000000008
713,-0.11838200000000043
714,-0.11364600000000102
715,-0.10820000000000007
716,-0.11135000000000161
717,-0.11553199999999997
718,-0.12032699999999963
719,-0.12374299999999927
720,-0.1270389999999999
721,-0.13531600000000132
722,-0.13571699999999964
723,-0.13867700000000127
724,-0.13580199999999998
725,-0.13815300000000086
726,-0.13916299999999993
727,-0.1432739999999999
728,-0.1443120000000011
729,-0.1474960000000003
730,-0.15108299999999986
731,-0.1574125000000013
732,-0.16122999999999976
733,-0.18644399999999983
734,-0.19170549999999942
735,-0.19209500000000013
736,-0.1938259999999996
737,-0.1978919999999995
738,-0.20320300000000024
739,-0.20454400000000028
740,-0.21088499999999932
741,-0.2126450000000002
742,-0.2111099999999997
743,-0.21298900000000032
744,-0.21537499999999987
745,-0.2153010000000002
746,-0.21242500000000142
747,-0.20878399999999964
748,-0.20716249999999903
749,-0.20761450000000004
750,-0.21017250000000054
751,-0.21923600000000043
752,-0.22764899999999955
753,-0.22875400000000035
754,-0.23197599999999952
755,-0.2317689999999999
756,-0.23021700000000145
757,-0.23222499999999968
758,-0.23223899999999986
759,-0.23604199999999942
760,-0.23538899999999963
761,-0.23738099999999918
762,-0.23830300000000015
763,-0.24264999999999937
764,-0.2445320000000013
765,-0.24807000000000023
766,-0.250415499999999
767,-0.2537439999999993
768,-0.25313050000000104
769,-0.2569360000000014
770,-0.2575959999999995
771,-0.26255000000000095
772,-0.2650250000000014
773,-0.2681285000000013
774,-0.2789439999999992
775,-0.2843680000000006
776,-0.28330949999999966
777,-0.28908699999999854
778,-0.2919880000000017
779,-0.2938479999999988
780,-0.301539
781,-0.3041060000000009
782,-0.30774350000000084
783,-0.31243799999999844
784,-0.3141444999999994
785,-0.32301
786,-0.3219604999999994
787,-0.32165400000000055
788,-0.329345
789,-0.33155
790,-0.33279300000000056
791,-0.3391495000000013
792,-0.34255749999999985
793,-0.34972899999999996
794,-0.35104699999999944
795,-0.3571460000000002
796,-0.35814700000000066
797,-0.36138899999999907
798,-0.364533999999999
799,-0.36420299999999983
800,-0.3714739999999992
801,-0.3858159999999984
802,-0.39288799999999924
803,-0.3902979999999996
804,-0.39106099999999877
805,-0.39685099999999984
806,-0.3935959999999987
807,-0.39457250000000066
808,-0.40423200000000037
809,-0.41052
810,-0.4231239999999996
811,-0.42852399999999946
812,-0.43445849999999986
813,-0.431318000000001
814,-0.436437999999999
815,-0.4279640000000011
816,-0.43041900000000055
817,-0.42736649999999976
818,-0.42834099999999964
819,-0.4273869999999995
820,-0.43009199999999836
821,-0.4320190000000004
822,-0.44207650000000065
823,-0.4418589999999991
824,-0.44306599999999996
825,-0.44598200000000077
826,-0.45272500000000093
827,-0.44938199999999995
828,-0.46137099999999975
829,-0.47077800000000103
830,-0.47610699999999895
831,-0.4734020000000001
832,-0.4754279999999991
833,-0.4773119999999995
834,-0.48151299999999964
835,-0.485951
836,-0.4944839999999999
837,-0.4935749999999999
838,-0.49455900000000064
839,-0.5050169999999987
840,-0.5052830000000004
841,-0.5134159999999994
842,-0.5212429999999983
843,-0.5057860000000005
844,-0.5087130000000002
845,-0.5097830000000005
846,-0.510764
847,-0.5131620000000012
848,-0.5099599999999995
849,-0.5111735
850,-0.5042729999999995
851,-0.5125065000000006
852,-0.5092619999999997
853,-0.506708999999999
854,-0.5079609999999999
855,-0.520818499999999
856,-0.520563000000001
857,-0.5310199999999998
858,-0.5195375000000002
859,-0.52163
860,-0.5213439999999991
861,-0.518599
862,-0.5344059999999988
863,-0.5353030000000008
864,-0.5363919999999993
865,-0.5450280000000003
866,-0.5538734999999999
867,-0.5701940000000008
868,-0.5692380000000004
869,-0.5724330000000002
870,-0.5764259999999997
871,-0.585302500000001
872,-0.5899829999999984
873,-0.5927210000000009
874,-0.5941119999999991
875,-0.595205
876,-0.602784999999999
877,-0.6195029999999999
878,-0.6202934999999989
879,-0.6370439999999995
880,-0.6357579999999992
881,-0.6405200000000004
882,-0.644933
883,-0.6617359999999994
884,-0.638223
885,-0.6415190000000006
886,-0.6366929999999993
887,-0.6469280000000008
888,-0.6598535000000005
889,-0.6659480000000002
890,-0.674531
891,-0.6792254999999994
892,-0.6786520000000014
893,-0.6777909999999991
894,-0.6861094999999988
895,-0.6944140000000001
896,-0.6962349999999997
897,-0.6817639999999994
898,-0.6811790000000002
899,-0.6756700000000002
900,-0.6748619999999992
901,-0.6781990000000011
902,-0.6845960000000009
903,-0.6848430000000008
904,-0.6909670000000006
905,-0.6917960000000001
906,-0.6860990000000005
907,-0.6921790000000012
908,-0.7009600000000002
909,-0.7023720000000004
910,-0.6986249999999998
911,-0.7047950000000007
912,-0.7102770000000014
913,-0.7102740000000001
914,-0.7108159999999994
915,-0.736929
916,-0.7417619999999996
917,-0.7543594999999996
918,-0.7543609999999994
919,-0.7438389999999995
920,-0.7495660000000015
921,-0.7515940000000008
922,-0.743722
923,-0.7327429999999993
924,-0.7345355000000016
925,-0.733686500000001
926,-0.7655490000000018
927,-0.7657599999999984
928,-0.7698470000000004
929,-0.7753739999999993
930,-0.7842909999999996
931,-0.7842889999999993
932,-0.7787950000000006
933,-0.7814980000000009
934,-0.783061
935,-0.8001309999999986
936,-0.7986999999999984
937,-0.801397999999999
938,-0.8261440000000011
939,-0.8317149999999991
940,-0.8308740000000014
941,-0.840561000000001
942,-0.853586
943,-0.8524460000000005
944,-0.8621610000000004
945,-0.8610989999999994
946,-0.8606549999999977
947,-0.8540400000000012
948,-0.8593219999999988
949,-0.8613479999999996
950,-0.8630269999999989
951,-0.8854930000000003
952,-0.8919550000000029
953,-0.8832399999999971
954,-0.8876989999999978
955,-0.8952360000000006
956,-0.8994759999999999
957,-0.9228780000000008
958,-0.9330329999999982
959,-0.9314559999999972
960,-0.9329970000000003
