Date,Volume,Guess Volume
2018-12-14,276040000.0,4.4420376
2018-12-17,276100000.0,4.443218
2018-12-18,277036000.0,4.4635277
2018-12-19,277108000.0,4.465779
2018-12-20,277640000.0,4.477836
2018-12-21,277780000.0,4.4807863
2018-12-24,277788000.0,4.480783
2018-12-26,278364000.0,4.4932246
2018-12-27,279200000.0,4.510822
2018-12-28,279282000.0,4.5122027
2018-12-31,279916000.0,4.5264797
2019-01-02,279936000.0,4.5270452
2019-01-03,280340000.0,4.53624
2019-01-04,280388000.0,4.5372133
2019-01-07,280532000.0,4.5403824
2019-01-08,282948000.0,4.5934443
2019-01-09,283069000.0,4.5964503
2019-01-10,283120000.0,4.597402
2019-01-11,283220000.0,4.599026
2019-01-14,283360000.0,4.6021237
2019-01-15,283504000.0,4.605315
2019-01-16,283556000.0,4.6065617
2019-01-17,283640000.0,4.6084547
2019-01-18,283988000.0,4.6162906
2019-01-22,284192000.0,4.620862
2019-01-23,284508000.0,4.628001
2019-01-24,284692900.0,4.63235
2019-01-25,284852000.0,4.6359057
2019-01-28,284885500.0,4.6365542
2019-01-29,285366600.0,4.647761
2019-01-30,285404000.0,4.6486616
2019-01-31,285584000.0,4.6529064
2019-02-01,285913000.0,4.6606
2019-02-04,286952000.0,4.6851807
2019-02-05,287560000.0,4.7000475
2019-02-06,287772000.0,4.7052
2019-02-07,288388000.0,4.720168
2019-02-08,288504400.0,4.722925
2019-02-11,289076000.0,4.73668
2019-02-12,289680000.0,4.751199
2019-02-13,289840000.0,4.7553496
2019-02-14,290480000.0,4.771887
2019-02-15,290504000.0,4.772214
2019-02-19,290616000.0,4.775385
2019-02-20,290708000.0,4.777423
2019-02-21,290844200.0,4.7808557
2019-02-22,290968000.0,4.7839723
2019-02-25,291476000.0,4.796218
2019-02-26,292024000.0,4.8104553
2019-02-27,292112000.0,4.8129735
2019-02-28,292132000.0,4.813184
2019-03-01,292216000.0,4.8159747
2019-03-04,292412000.0,4.820651
2019-03-05,292503000.0,4.8229017
2019-03-06,292528000.0,4.8231754
2019-03-07,293372000.0,4.8454475
2019-03-08,293399100.0,4.845104
2019-03-11,293506400.0,4.847827
2019-03-12,293896000.0,4.8586187
2019-03-13,293912000.0,4.8588533
2019-03-14,293926000.0,4.8607607
2019-03-15,294112000.0,4.8665724
2019-03-18,294335100.0,4.872278
2019-03-19,294503000.0,4.876706
2019-03-20,294645000.0,4.8804913
2019-03-21,294654000.0,4.8807116
2019-03-22,295144000.0,4.894004
2019-03-25,295420000.0,4.9017267
2019-03-26,295420000.0,4.9016643
2019-03-27,296140000.0,4.921718
2019-03-28,296352000.0,4.927923
2019-03-29,296507000.0,4.93157
2019-04-01,296624000.0,4.934387
2019-04-02,296948000.0,4.9431295
2019-04-03,297202000.0,4.9495735
2019-04-04,297299000.0,4.951512
2019-04-05,297500000.0,4.9566903
2019-04-08,297804000.0,4.96404
2019-04-09,298068000.0,4.970874
2019-04-10,298244000.0,4.9746737
2019-04-11,298384000.0,4.978563
2019-04-12,299012000.0,4.993795
2019-04-15,299208000.0,4.9986877
2019-04-16,299520000.0,5.006749
2019-04-17,299595000.0,5.0083313
